Function                                     CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module        Function (Full)                              Source File  Start Address
-------------------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  ------------  -------------------------------------------  -----------  -------------
strassen_multiply_internal                    84.431s                  84.431s                            0s                       84.431s                          0s                             0s                            0s                  0s                      0s  str_test      strassen_multiply_internal                   [Unknown]    0x400f6c     
calloc                                        52.068s                  52.068s                            0s                       52.068s                          0s                             0s                            0s                  0s                      0s  libc.so.6     calloc                                       [Unknown]    0x80960      
matrix_add._omp_fn.0                          39.478s                  39.478s                        0.010s                       39.468s                          0s                             0s                            0s                  0s                      0s  str_test      matrix_add._omp_fn.0                         [Unknown]    0x401ca8     
_int_free                                     21.336s                  21.336s                        0.016s                       21.321s                          0s                             0s                            0s                  0s                      0s  libc.so.6     _int_free                                    [Unknown]    0x7be10      
matrix_sub._omp_fn.1                          18.972s                  18.972s                        0.011s                       18.961s                          0s                             0s                            0s                  0s                      0s  str_test      matrix_sub._omp_fn.1                         [Unknown]    0x401e45     
strassen_multiply_internal._omp_fn.2          13.351s                  13.351s                            0s                       13.351s                          0s                             0s                            0s                  0s                      0s  str_test      strassen_multiply_internal._omp_fn.2         [Unknown]    0x401fe2     
func@0x177e0                                   6.837s                   6.837s                            0s                        6.837s                          0s                             0s                            0s                  0s                      0s  libgomp.so.1  func@0x177e0                                 [Unknown]    0x177e0      
GOMP_task                                      1.941s                   1.941s                            0s                        1.941s                          0s                             0s                            0s                  0s                      0s  libgomp.so.1  GOMP_task                                    [Unknown]    0x12a40      
__libc_malloc                                  1.548s                   1.548s                            0s                        1.548s                          0s                             0s                            0s                  0s                      0s  libc.so.6     __libc_malloc                                [Unknown]    0x7ff70      
allocate_matrix                                1.400s                   1.400s                            0s                        1.400s                          0s                             0s                            0s                  0s                      0s  str_test      allocate_matrix                              [Unknown]    0x400cf0     
